latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-9.8648,115.9595,39.88,5.2,NA,5.2,14876.63397,55,12,15,23,9,2013
-8.9987,119.6285,37.56,5.1,NA,5.1,14914.02361,0.17,34,0,31,10,2013
-9.8174,117.9568,33.74,5,NA,5,15029.88976,15.39,21,21,23,2,2014
-9.653,114.2783,51.41,5,NA,5,15054.89792,0.06,33,21,20,3,2014
-8.1731,118.3035,10.26,5.1,NA,5.1,15552.93481,7.26,26,22,31,7,2015
-9.7758,115.9399,35.19,5.3,NA,5.3,15558.21238,49.93,5,5,6,8,2015
-10.8411,116.3414,34.44,5.1,NA,5.1,15581.83503,26.65,2,20,29,8,2015
-10.3314,119.4196,19.68,5.2,NA,5.2,15731.91662,56.26,59,21,26,1,2016
-9.6338,119.4013,28,6.5,6.3,6.5,15748.41833,24.05,2,10,12,2,2016
-10.3268,119.2173,49.24,5,NA,5,15889.39509,55.49,28,9,2,7,2016
-8.1935,117.8136,21,6,5.6,6,15918.98613,1.88,40,23,31,7,2016
-9.6475,119.9051,48.88,5.9,5.4,5.9,15930.76403,12.23,20,18,12,8,2016
-8.2566,119.3116,17.38,5.2,NA,5.2,16265.60454,32.67,30,14,13,7,2017
-10.1961,118.8822,10.84,5.3,NA,5.3,16334.68416,11.31,25,16,20,9,2017
-7.8355,118.8054,14.82,5.7,5.1,5.7,16467.0837,31.57,0,2,31,1,2018
-9.1493,118.4063,10,5.7,5.1,5.7,16584.80929,22.44,25,19,28,5,2018
-9.8852,118.9639,47.78,5.2,NA,5.2,16621.21861,47.48,14,5,4,7,2018
-8.2395,116.508,14,6.5,6.4,6.5,16645.94975,38.74,47,22,28,7,2018
-8.2204,116.4624,10,5.9,5.4,5.9,16645.96307,48.82,6,23,28,7,2018
-8.3133,116.4514,10.9,5.8,5.3,5.8,16646.07676,32.22,50,1,29,7,2018
-8.2581,116.4375,34,6.8,6.9,6.8,16653.49072,38.63,46,11,5,8,2018
-8.3608,116.0241,17.72,5.1,NA,5.1,16653.50236,24.19,3,12,5,8,2018
-8.358,116.1402,31.26,5.5,NA,5.5,16653.53467,55.25,49,12,5,8,2018
-8.2702,116.2412,10,5,NA,5,16653.70118,41.6,49,16,5,8,2018
-8.3667,116.3062,10,5.8,5.3,5.8,16654.01965,18.02,28,0,6,8,2018
-8.3988,116.0135,26.01,5.7,5.1,5.7,16654.66037,55.57,50,15,6,8,2018
-8.2479,116.364,22.5,5.8,5.3,5.8,16654.76481,19.2,21,18,6,8,2018
-8.3065,116.2304,15,6.2,5.9,6.2,16657.22607,32.38,25,5,9,8,2018
-8.4051,116.5772,10,5.4,NA,5.4,16667.17098,13.08,6,4,19,8,2018
-8.3366,116.5993,16,6.5,6.3,6.5,16667.17387,22.64,10,4,19,8,2018
-8.319,116.6272,21,6.8,6.9,6.8,16667.62254,27.49,56,14,19,8,2018
-8.2842,116.5942,10,5.6,NA,5.6,16667.62781,2.94,4,15,19,8,2018
